,City,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,Waitati,0,NZ,37,-45.75,170.57,74.53,3.24
1,Wyndham,1,US,100,37.7,-77.61,32.86,2.62
2,Lincoln,1,US,82,40.8,-96.67,57.96,10.29
3,Otautau,92,NZ,61,-46.15,168.0,67.51,16.82
4,Jamestown,1,US,92,42.1,-79.24,27.68,3.36
5,Rawson,56,AR,91,-43.3,-65.1,55.54,20.13
6,Waipawa,0,NZ,72,-41.41,175.52,68.0,25.28
7,Castro,76,BR,96,-24.79,-50.01,59.91,2.84
8,Christchurch,8,NZ,64,-43.53,172.63,69.8,10.29
9,Necochea,0,AR,99,-38.55,-58.74,48.79,7.76
10,Milton,1,US,93,34.13,-84.3,47.01,5.08
11,Viedma,12,AR,90,-40.81,-63.0,48.97,7.76
12,Laguna,1,US,65,38.42,-121.42,46.94,13.87
13,Burnie,88,AU,100,-41.07,145.92,61.66,10.33
14,Mahebourg,40,MU,58,-20.41,57.7,84.2,17.22
15,Southbridge,90,US,80,42.08,-72.03,35.19,2.39
16,Saldanha,0,ZA,76,-33.01,17.94,64.4,11.41
17,Margate,0,GB,86,51.38,1.39,38.28,6.93
18,Rocha,76,UY,86,-34.48,-54.33,60.99,10.07
19,Coihaique,0,CL,67,-45.58,-72.07,59.0,8.05
20,Esperance,92,AU,34,-33.87,121.9,82.86,4.92
21,Luderitz,0,NA,77,-26.65,15.16,60.8,11.41
22,Constitucion,0,CL,98,-35.33,-72.42,52.39,10.11
23,Mercedes,24,AR,73,-34.65,-59.43,62.79,12.91
24,Kyabram,0,AU,67,-36.32,145.05,66.25,14.92
25,Kokstad,48,ZA,85,-30.55,29.42,58.42,3.02
26,Middelburg,80,ZA,54,-25.78,29.46,72.64,6.53
27,Willowmore,12,ZA,67,-33.29,23.49,60.31,5.64
28,Maldonado,75,UY,82,-34.9,-54.95,62.6,6.93
29,Dargaville,0,NZ,47,-35.93,173.88,74.22,10.85
30,Carahue,0,CL,100,-38.7,-73.17,50.46,2.8
31,Cradock,48,ZA,78,-32.16,25.62,59.01,3.29
32,Ballina,92,AU,100,-28.87,153.57,68.95,4.29
33,Graneros,12,CL,73,-34.07,-70.73,49.11,3.4
34,Robertson,75,AU,93,-34.58,150.6,59.0,12.75
35,Warragul,76,AU,75,-38.17,145.93,59.91,3.91
36,Newcastle,75,AU,82,-32.93,151.78,66.2,20.8
37,Bombay,48,NZ,64,-37.17,174.98,73.4,11.41
38,Beloha,0,MG,98,-25.17,45.05,83.08,4.81
39,Stellenbosch,20,ZA,59,-33.93,18.87,66.2,18.34
40,Ngunguru,0,NZ,90,-35.62,174.5,67.24,13.98
41,Imbituba,75,BR,88,-28.24,-48.67,73.4,13.87
42,Manutuke,0,NZ,50,-38.68,177.92,67.96,13.58
43,Taree,100,AU,73,-31.9,152.47,73.4,9.17
44,Calvinia,0,ZA,42,-31.47,19.78,68.0,14.99
45,Graaff-Reinet,92,ZA,84,-32.25,24.53,57.39,4.03
46,Villarrica,36,PY,90,-25.75,-56.43,74.98,4.81
47,Linares,0,CL,80,-35.85,-71.6,45.69,2.39
48,Junin,92,AR,73,-34.58,-60.94,64.86,13.09
49,Valparaiso,0,CL,93,-33.04,-71.63,50.0,3.06
50,Oxford,75,GB,81,51.75,-1.26,40.23,5.82
51,Armidale,92,AU,100,-30.52,151.65,59.23,2.91
52,Purranque,75,CL,93,-40.92,-73.17,50.0,6.93
53,Dubbo,44,AU,31,-32.25,148.62,75.2,8.05
54,Warrnambool,0,AU,91,-38.38,142.48,60.04,12.46
55,Tumut,80,AU,67,-35.3,148.22,64.09,2.39
56,Castlemaine,36,AU,70,-37.07,144.22,60.58,11.97
57,Griffith,90,US,61,41.53,-87.42,49.12,10.29
58,Kwinana,90,AU,73,-32.25,115.77,72.88,5.82
59,Alofi,76,NU,94,-19.06,-169.92,77.0,13.87
60,Artigas,76,UY,82,-30.4,-56.47,66.39,17.16
61,Wellington,0,NZ,72,-41.29,174.78,68.0,25.28
62,Gisborne,0,NZ,50,-38.65,178.0,67.96,13.58
63,Otane,32,NZ,41,-39.88,176.63,73.09,5.14
64,Gualeguay,80,AR,86,-33.14,-59.31,65.49,13.35
65,Kiama,75,AU,93,-34.68,150.87,59.0,12.75
66,Warkworth,0,NZ,64,-36.4,174.67,73.4,11.41
67,Manaia,0,NZ,80,-39.55,174.13,66.57,12.64
68,Russell,1,US,72,38.9,-98.86,63.84,29.97
69,Fairlie,90,GB,93,55.76,-4.86,46.42,4.7
70,Whakatane,0,NZ,100,-37.96,176.99,66.43,7.27
71,Talcahuano,0,CL,87,-36.72,-73.12,53.6,5.82
72,Salto,12,UY,91,-31.38,-57.97,66.52,11.41
73,Vao,48,NC,100,-22.67,167.48,74.26,15.1
74,Minas,75,UY,82,-34.38,-55.24,62.6,6.93
75,Goulburn,92,AU,100,-34.75,149.72,54.28,10.11
76,Masterton,0,NZ,27,-40.96,175.66,76.11,8.88
77,Melo,88,UY,92,-32.37,-54.18,63.24,15.1
78,Perth,90,AU,73,-31.93,115.83,72.82,6.93
79,Azul,0,AR,66,-36.78,-59.86,53.97,12.3
80,Cooma,92,AU,84,-36.23,149.13,55.32,7.09
81,Matata,0,NZ,100,-37.88,176.75,66.43,7.27
82,Hokitika,0,NZ,92,-42.72,170.97,63.96,8.77
83,Frutal,48,BR,96,-20.02,-48.94,69.76,6.15
84,Vinhedo,0,BR,82,-23.03,-46.98,68.0,6.93
85,Mahina,40,PF,74,-17.51,-149.49,78.8,11.41
86,Emerald,32,AU,83,-23.53,148.17,77.05,8.16
87,Amboasary,20,MG,66,-25.03,46.38,86.0,17.22
88,Francistown,0,BW,53,-21.17,27.51,77.0,3.36
89,Pailon,75,BO,94,-17.65,-62.75,75.2,4.7
90,Carandai,92,BR,99,-20.95,-43.81,64.09,3.4
91,Orizona,44,BR,94,-17.03,-48.3,67.51,3.02
92,Dondo,40,MZ,78,-19.61,34.74,78.8,8.05
93,Saint-Pierre,0,RE,62,-21.34,55.48,85.21,6.93
94,Paracatu,88,BR,99,-17.22,-46.87,67.96,0.89
95,Niteroi,75,BR,88,-22.88,-43.1,73.98,6.93
96,Rockhampton,75,AU,69,-23.38,150.5,80.6,10.29
97,Guanhaes,68,BR,98,-18.77,-42.93,65.22,1.23
98,Pilar,40,BR,94,-9.6,-35.96,73.4,3.36
99,Gobabis,12,NA,17,-22.45,18.97,77.0,3.36
100,Tapejara,36,BR,97,-28.07,-52.01,62.92,3.06
101,Sidrolandia,40,BR,94,-20.93,-54.96,75.2,3.36
102,Anjozorobe,75,MG,77,-18.4,47.87,68.0,6.93
103,Chimoio,0,MZ,69,-19.12,33.48,77.0,4.7
104,Goias,44,BR,97,-15.93,-50.14,68.91,2.62
105,Bengkulu,92,ID,100,-3.8,102.27,75.97,14.09
106,Tupancireta,64,BR,93,-29.08,-53.84,68.32,3.58
107,Humaita,36,BR,87,-7.51,-63.02,76.87,2.39
108,Kanye,80,BW,64,-24.97,25.33,69.85,6.08
109,Dekar,64,BW,71,-21.53,21.93,71.11,5.14
110,Upington,0,ZA,28,-28.45,21.26,71.6,1.12
111,Gweta,80,BW,52,-20.18,25.23,78.04,7.31
112,Kalabo,36,ZM,82,-14.97,22.68,72.82,4.14
113,Kathu,40,TH,66,7.92,98.33,86.0,8.05
114,Acari,12,PE,86,-15.43,-74.62,49.15,1.5
115,Marica,75,BR,88,-22.92,-42.82,74.32,6.93
116,Nsoko,68,SZ,84,-27.03,31.95,70.57,4.07
117,Kimberley,0,ZA,33,-28.73,24.76,73.4,2.24
118,Sinazongwe,0,ZM,49,-17.26,27.46,87.04,3.85
119,Pocone,0,BR,92,-16.26,-56.62,75.57,3.13
120,Honiara,75,SB,94,-9.43,159.95,82.4,5.82
121,Vaitape,88,PF,94,-16.52,-151.75,82.86,10.96
122,Ampanihy,0,MG,100,-24.7,44.75,81.01,4.59
123,Ascension,44,BO,93,-15.7,-63.08,75.52,2.06
124,Ouegoa,88,NC,100,-20.35,164.43,73.72,6.08
125,Rusape,0,ZW,81,-18.53,32.13,68.77,3.74
126,Miandrivazo,0,MG,94,-19.52,45.47,79.84,3.85
127,Cananeia,88,BR,100,-25.01,-47.93,71.56,5.59
128,Midrand,75,ZA,53,-25.96,28.14,71.6,4.7
129,Karibib,0,NA,74,-21.93,15.83,63.37,4.63
130,Chitungwiza,0,ZW,41,-18.01,31.08,77.0,13.87
131,Prudentopolis,80,BR,88,-25.21,-50.98,65.67,2.24
132,Lydenburg,8,ZA,75,-25.1,30.46,70.17,2.57
133,Karasburg,0,NA,36,-28.02,18.75,63.51,4.41
134,Mangaratiba,90,BR,94,-22.96,-44.04,73.4,4.7
135,Quelimane,20,MZ,70,-17.88,36.89,84.2,10.29
136,Challapata,88,BO,86,-18.9,-66.77,30.57,2.57
137,Desaguadero,68,PE,35,-16.57,-69.04,44.11,1.9
138,Gwanda,12,ZW,25,-20.93,29.0,83.8,10.11
139,Cambara,24,BR,84,-23.05,-50.07,68.68,9.33
140,Lluta,0,PE,62,-16.01,-72.01,51.8,3.36
141,Bindura,0,ZW,40,-17.3,31.33,77.95,5.37
142,Montanha,56,BR,96,-18.13,-40.36,69.4,3.06
143,Chimbote,48,PE,95,-9.09,-78.58,61.44,6.82
144,Uvira,8,CD,100,-3.41,29.15,67.33,3.06
145,Paramonga,76,PE,97,-10.67,-77.83,62.02,9.28
146,Floriano,8,BR,40,-6.77,-43.02,79.75,8.1
147,Nguruka,56,TZ,91,-5.11,31.04,69.31,3.4
148,Aripuana,64,BR,89,-9.17,-60.63,79.71,2.06
149,Pangoa,24,PE,93,-12.12,-73.0,63.1,1.83
150,Pauini,64,BR,92,-7.71,-66.98,79.17,2.24
151,Kasangulu,20,CD,83,-4.59,15.17,77.0,3.36
152,Jaguarari,8,BR,64,-10.26,-40.2,71.79,7.54
153,Pentecoste,92,BR,87,-3.79,-39.27,78.4,12.12
154,Trairi,68,BR,100,-3.28,-39.27,80.16,20.69
